,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
4459,2017,3126080,Papi White,WR,Ohio,Mid-American,55,0.439,0.446,0.343,0.494,0.58,0.254,0.524,0.263,24.14,22.767,1.373,14.337,7.546,3.047,19.406,4.734
4487,2017,4043606,Willie Johnson,WR,Marshall,Conference USA,55,0.451,0.451,NA,0.171,0.598,0.5,0.376,0.581,24.802,24.802,NA,3.924,8.963,8.006,13.174,11.629
4639,2017,3932963,Dax Raymond,TE,Utah State,Mountain West,55,0.529,0.529,NA,0.507,0.098,0.865,0.349,0.846,29.121,29.121,NA,14.194,1.083,13.844,12.199,16.922
5067,2017,546427,Steven Mitchell Jr.,WR,USC,Pac-12,55,0.884,0.884,NA,0.169,1.336,2.216,0.562,1.544,48.605,48.605,NA,3.728,28.054,19.947,20.812,27.793
5936,2018,3915969,John Moten IV,RB,Northwestern,Big Ten,55,0.036,0.231,-0.002,-0.274,0.247,0.524,0.075,-0.103,1.985,2.075,-0.09,-7.126,5.442,3.669,3.225,-1.24
6534,2018,4240895,Jhamon Ausbon,WR,Texas A&M,SEC,55,0.273,0.273,NA,-0.1,0.469,0.634,-0.125,0.917,15.024,15.024,NA,-2.301,8.445,8.88,-4.239,19.263
6634,2018,3126487,Michael Scarnecchia,QB,South Carolina,SEC,55,0.314,0.405,-0.856,0.074,0.647,0.537,0.466,0.131,17.244,20.667,-3.423,1.412,8.405,10.198,13.976,3.268
7130,2018,3929817,Felton Davis III,WR,Michigan State,Big Ten,55,0.56,0.515,1.75,0.518,0.661,0.79,0.579,0.532,30.796,27.297,3.5,10.882,9.91,14.219,19.1,11.696
7244,2018,4039390,Tevaka Tuioti,QB,New Mexico,Mountain West,55,0.642,0.701,0.451,0.113,0.92,1.066,0.236,1.13,35.325,29.458,5.867,2.035,20.231,13.864,7.065,28.259
7324,2018,4242506,Jaylon Redd,WR,Oregon,Pac-12,55,0.702,0.683,1.025,0.1,0.721,0.943,0.153,1.466,38.592,35.516,3.076,2.099,12.972,12.263,4.884,33.708
7331,2018,4040980,Irv Smith Jr.,TE,Alabama,SEC,55,0.706,0.706,NA,0.618,0.55,1.158,0.496,1.268,38.849,38.849,NA,17.306,8.802,12.74,19.827,19.022
7666,2018,4239830,Xavier Ubosi,WR,UAB,Conference USA,55,1.092,1.092,NA,0.37,1.176,2.056,0.452,1.667,60.086,60.086,NA,7.777,23.521,28.787,11.756,48.33
8471,2019,4426420,Devyn Ford,RB,Penn State,Big Ten,55,0.054,0.29,0.031,0.121,-0.039,-0.86,0.102,-0.189,2.989,1.449,1.54,3.985,-0.7,-2.581,4.687,-1.698
9215,2019,4570242,Nick Nash,QB,San José State,Mountain West,55,0.338,0.43,0.286,0.023,0.5,0.92,0.233,0.758,18.605,8.605,10,0.593,9.999,7.358,10.265,8.34
9273,2019,4050286,Jonathan Hodoh,WR,Louisiana Monroe,Sun Belt,55,0.365,0.365,NA,0.352,-0.077,0.615,0.221,0.617,20.068,20.068,NA,9.849,-0.999,6.767,7.721,12.347
9429,2019,4361679,Devin Carter,WR,NC State,ACC,55,0.453,0.453,NA,0.15,0.278,1.033,0.326,0.642,24.894,24.894,NA,3.452,4.996,13.427,10.766,14.128
9430,2019,4240625,Mike Harley,WR,Miami,ACC,55,0.453,0.456,0.404,0.374,0.514,0.553,0.299,0.796,24.908,23.696,1.212,10.482,6.681,7.745,11.367,13.54
9468,2019,4243247,Jaylen Dixon,WR,Utah,Pac-12,55,0.472,0.534,0.345,0.315,-0.018,1.58,0.387,0.701,25.976,19.769,6.207,10.398,-0.221,15.799,15.465,10.511
9618,2019,3929785,Nick Westbrook,WR,Indiana,Big Ten,55,0.548,0.548,NA,0.154,0.901,0.622,0.568,0.52,30.139,30.139,NA,3.546,21.616,4.977,18.184,11.955
9627,2019,4260792,Tre'Shon Wolf,WR,UTEP,Conference USA,55,0.554,0.563,0.411,0.395,0.332,1.058,0.395,0.776,30.485,29.252,1.232,9.082,6.314,11.643,12.643,17.842
9669,2019,4362107,Brennan Eagles,WR,Texas,Big 12,55,0.576,0.576,NA,0.547,0.26,1.205,0.493,0.69,31.668,31.668,NA,10.93,4.424,19.286,15.79,15.878
9767,2019,4575665,Jacob Cowing,WR,UTEP,Conference USA,55,0.631,0.631,NA,0.585,0.148,0.478,0.549,0.731,34.725,34.725,NA,13.456,1.48,8.602,16.459,18.267
9830,2019,4036189,Thaddeus Moss,TE,LSU,SEC,55,0.678,0.656,1.263,0.856,0.517,-0.152,0.701,0.602,37.276,34.751,2.526,27.399,10.334,-0.457,29.445,7.832
9959,2019,4034950,Freddie Swain,WR,Florida,SEC,55,0.784,0.856,-0.133,0.285,1.274,0.943,0.365,1.287,43.119,43.651,-0.532,7.128,21.651,10.368,10.942,32.177
10214,2019,4239968,Geraud Sanders,WR,Air Force,Mountain West,55,1.072,1.101,-0.5,1.26,0.588,1.738,0.86,1.212,58.935,59.436,-0.5,18.901,12.93,29.553,18.924,40.011
393,2014,3124079,Cam Phillips,WR,Virginia Tech,ACC,54,0.696,0.675,0.86,1.034,-0.016,1.014,0.616,0.789,37.581,32.42,5.161,19.646,-0.259,18.251,17.857,19.723
