"","season","id","name","position","team","conference","usage.overall","usage.pass","usage.rush","usage.firstDown","usage.secondDown","usage.thirdDown","usage.standardDowns","usage.passingDowns"
"150",2014,"3126209","Roderick Proctor","WR","Memphis","American Athletic",0.0396,0.0778,0.0123,0.0385,0.0390,0.0490,0.0330,0.0530
"151",2014,"3127207","Vic Enwere","RB","California","Pac-12",0.0386,0.0055,0.0844,0.0398,0.0280,0.0390,0.0480,0.0170
"152",2014,"3122667","Charles Nelson","WR","Oregon","Pac-12",0.0385,0.0661,0.0167,0.0511,0.0250,0.0310,0.0440,0.0230
"153",2014,"3125731","Corey Lacanaria","WR","Ball State","Mid-American",0.0372,0.0752,0.0024,0.0328,0.0400,0.0500,0.0270,0.0610
"154",2014,"3129224","Tez Parks","RB","Southern Mississippi","Conference USA",0.0368,0.0176,0.0694,0.0539,0.0410,0.0000,0.0490,0.0190
"155",2014,"3126325","Dorian Baker","WR","Kentucky","SEC",0.0365,0.0724,0.0000,0.0337,0.0510,0.0220,0.0350,0.0390
"156",2014,"545423","Akrum Wadley","RB","Iowa","Big Ten",0.0365,0.0067,0.0660,0.0496,0.0300,0.0210,0.0450,0.0170
"157",2014,"546607","Gabe Myles","WR","Mississippi State","SEC",0.0349,0.0668,0.0095,0.0440,0.0390,0.0110,0.0380,0.0260
"158",2014,"3126286","Bishop Louie","WR","Tulsa","American Athletic",0.0347,0.0540,0.0137,0.0343,0.0390,0.0350,0.0270,0.0500
"159",2014,"550693","Troy Mangen","TE","Ohio","Mid-American",0.0346,0.0722,0.0023,0.0302,0.0290,0.0460,0.0300,0.0450
"160",2014,"550355","Mykel Traylor-Bennett","WR","Akron","Mid-American",0.0342,0.0559,0.0000,0.0417,0.0350,0.0230,0.0360,0.0300
"161",2014,"547253","Marcell Ateman","WR","Oklahoma State","Big 12",0.0342,0.0718,0.0000,0.0302,0.0420,0.0370,0.0340,0.0350
"162",2014,"548047","Andre Levrone","WR","Virginia","ACC",0.0339,0.0685,0.0000,0.0214,0.0350,0.0590,0.0260,0.0500
"163",2014,"550364","Dylan Cantrell","WR","Texas Tech","Big 12",0.0337,0.0547,0.0000,0.0370,0.0270,0.0430,0.0410,0.0180
"164",2014,"559629","Jared Cornelius","WR","Arkansas","SEC",0.0336,0.0689,0.0096,0.0299,0.0320,0.0490,0.0250,0.0510
"165",2014,"3115928","Malik Turner","WR","Illinois","Big Ten",0.0336,0.0597,0.0000,0.0258,0.0220,0.0660,0.0260,0.0470
"166",2014,"547616","Eldridge Massington","WR","UCLA","Pac-12",0.0335,0.0706,0.0000,0.0246,0.0370,0.0480,0.0250,0.0540
"167",2014,"3117415","Mossi Johnson","WR","UCLA","Pac-12",0.0335,0.0638,0.0064,0.0246,0.0400,0.0480,0.0290,0.0430
"168",2014,"559748","Ethan Wolf","TE","Tennessee","SEC",0.0312,0.0625,0.0000,0.0309,0.0420,0.0200,0.0270,0.0400
"169",2014,"550683","Brendan Cope","WR","Ohio","Mid-American",0.0311,0.0644,0.0023,0.0357,0.0250,0.0290,0.0310,0.0300
"170",2014,"550506","K.J. Young","WR","Oklahoma","Big 12",0.0311,0.0675,0.0056,0.0165,0.0200,0.0800,0.0160,0.0640
"171",2014,"546267","Nick Stevens","QB","Colorado State","Mountain West",0.0309,0.0580,0.0000,0.0160,0.0310,0.0640,0.0170,0.0570
"172",2014,"552951","Jimmy Williams","WR","East Carolina","American Athletic",0.0307,0.0464,0.0052,0.0263,0.0210,0.0600,0.0280,0.0360
"173",2014,"550477","Damion Terry","QB","Michigan State","Big Ten",0.0306,0.0451,0.0211,0.0178,0.0350,0.0530,0.0200,0.0560
"174",2014,"550113","Eugene Brazley","RB","Ole Miss","SEC",0.0305,0.0049,0.0578,0.0408,0.0270,0.0180,0.0440,0.0040
"175",2014,"550669","Bryce Bobo","WR","Colorado","Pac-12",0.0303,0.0526,0.0024,0.0264,0.0310,0.0400,0.0280,0.0360
"176",2014,"3126264","Terren Encalade","WR","Tulane","American Athletic",0.0298,0.0551,0.0000,0.0286,0.0330,0.0330,0.0320,0.0250
"177",2014,"3116145","Solomon Vault","WR","Northwestern","Big Ten",0.0295,0.0174,0.0429,0.0289,0.0380,0.0190,0.0300,0.0270
"178",2014,"3126339","Blake Bone","WR","Kentucky","SEC",0.0294,0.0584,0.0000,0.0337,0.0290,0.0220,0.0260,0.0360
"179",2014,"3127306","Dante Pettis","WR","Washington","Pac-12",0.0293,0.0691,0.0000,0.0288,0.0260,0.0410,0.0270,0.0330
"180",2014,"547842","Chad Beebe","WR","Northern Illinois","Mid-American",0.0293,0.0753,0.0031,0.0260,0.0380,0.0270,0.0260,0.0370
"181",2014,"552746","Michael Julian","QB","Toledo","Mid-American",0.0291,0.0511,0.0138,0.0149,0.0340,0.0600,0.0170,0.0630
"182",2014,"549915","Turner Smiley","WR","North Texas","Conference USA",0.0290,0.0606,0.0026,0.0330,0.0340,0.0190,0.0280,0.0300
"183",2014,"3122119","Ish Witter","RB","Missouri","SEC",0.0284,0.0047,0.0493,0.0222,0.0390,0.0240,0.0240,0.0370
"184",2014,"3128260","J-Shun Harris II","WR","Indiana","Big Ten",0.0282,0.0629,0.0067,0.0312,0.0250,0.0320,0.0300,0.0240
"185",2014,"547193","Ammon Barker","WR","Hawai'i","Mountain West",0.0279,0.0556,0.0000,0.0178,0.0260,0.0530,0.0210,0.0390
